sku,descripcion,categoria,volumen_total,semanas,wmape_sem_%,wmape_mes_%,mape_sem_%,mae_sem,n_pts_sem,n_meses
500170200,SALSA SOYA BALDE KIKKOMAN 1x18900 BALDE,KIKKOMAN,143777,191,116.34,9.05,740.22,713.9,24,3
440010185,SOPA INST. VEGETALES TRAVERSO 12x65 POTE,SOPAS,128148,210,72.7,55.44,324.1,329.8,24,3
114010290,VINAGRE INCOLORO TRAVERSO 30x500 PET,VINAGRES,120021,210,31.04,22.92,40.49,265.5,24,3
260010495,MOSTAZA TRAVERSO 300x8 SACHET,SALSAS,119950,210,60.53,58.82,63.39,419.2,24,3
121010115,JUGO LIMON TRAVERSO 12x1000 PET,JUGO DE LIMON,117571,210,45.01,34.85,173.05,220.2,24,3
420010185,SOPA INST. CAMARON TRAVERSO 12x65 POTE,SOPAS,116226,207,110.68,103.28,384.02,338.0,24,3
111010320,VINAGRE BLANCO TRAVERSO 4x5000 PET,VINAGRES,114430,210,37.53,13.51,110.69,195.7,24,3
260010265,MOSTAZA TRAVERSO 24x350 PET,SALSAS,108575,210,37.21,32.81,42.0,161.2,24,3
260010175,MOSTAZA TRAVERSO 12x500 DOYPACK,SALSAS,106393,210,22.01,11.34,71.63,90.9,24,3
111010175,VINAGRE BLANCO TRAVERSO 12x500 PET,VINAGRES,104291,209,37.23,22.02,43.48,196.7,24,3
250010495,KETCHUP TRAVERSO 300x8 SACHET,SALSAS,103926,209,68.25,66.41,76.3,498.2,24,3
111010210,VINAGRE BLANCO TRAVERSO 20x1000 PET,VINAGRES,98961,210,33.53,25.28,71.6,106.5,24,3
270010495,MAYONESA TRAVERSO 300x8 SACHET,MAYONESA,90856,122,60.43,53.42,187.33,532.2,24,3
261010110,MOSTAZA SUAVE VINTAGE TRAVERSO 10x450 PET,SALSAS,84567,210,46.33,21.08,581.0,170.1,24,3
250010175,KETCHUP TRAVERSO 12x500 DOYPACK,SALSAS,77953,210,18.28,11.14,61.58,55.3,24,3
112010210,VINAGRE ROSADO TRAVERSO 20x1000 PET,VINAGRES,77291,210,22.75,16.27,46.71,74.3,24,3
